    Pressure         n_b          Ye          Yn        Zbar        Abar        mu_e        mu_n
 9.12141E-04   1.99646E-03   6.55635E-02   7.71521E-01   3.30000E+01   1.15000E+02   3.04889E+01   1.92523E+00
 9.21262E-04   2.03492E-03   6.47991E-02   7.74185E-01   3.30000E+01   1.15000E+02   3.05649E+01   1.94706E+00
 9.30475E-04   2.07382E-03   6.40520E-02   7.76788E-01   3.30000E+01   1.15000E+02   3.06410E+01   1.96889E+00
 9.39780E-04   2.11324E-03   6.33199E-02   7.79340E-01   3.30000E+01   1.15000E+02   3.07173E+01   1.99077E+00
 9.49178E-04   2.15320E-03   6.26023E-02   7.81840E-01   3.30000E+01   1.15000E+02   3.07937E+01   2.01271E+00
 9.58669E-04   2.19371E-03   6.18989E-02   7.84292E-01   3.30000E+01   1.15000E+02   3.08704E+01   2.03470E+00
 9.68256E-04   2.23486E-03   6.12077E-02   7.86701E-01   3.30000E+01   1.15000E+02   3.09474E+01   2.05680E+00
 9.77936E-04   2.27312E-03   6.05852E-02   7.88870E-01   3.30000E+01   1.15000E+02   3.10182E+01   2.07713E+00
 9.87716E-04   2.31790E-03   5.98523E-02   7.90256E-01   3.25271E+01   1.13987E+02   3.10954E+01   2.09928E+00
 9.97593E-04   2.40467E-03   5.81172E-02   7.76472E-01   2.60000E+01   1.00000E+02   3.11728E+01   2.11971E+00
 1.00757E-03   2.44449E-03   5.75917E-02   7.78493E-01   2.60000E+01   1.00000E+02   3.12503E+01   2.13988E+00
 1.01764E-03   2.48479E-03   5.70750E-02   7.80481E-01   2.60000E+01   1.00000E+02   3.13281E+01   2.16010E+00
 1.02782E-03   2.52557E-03   5.65669E-02   7.82435E-01   2.60000E+01   1.00000E+02   3.14061E+01   2.18038E+00
 1.03810E-03   2.56681E-03   5.60678E-02   7.84355E-01   2.60000E+01   1.00000E+02   3.14842E+01   2.20068E+00
 1.06955E-03   2.69362E-03   5.46178E-02   7.89931E-01   2.60000E+01   1.00000E+02   3.17198E+01   2.26195E+00
 1.08025E-03   2.73689E-03   5.41502E-02   7.91730E-01   2.60000E+01   1.00000E+02   3.17988E+01   2.28248E+00
 1.10196E-03   2.82445E-03   5.32430E-02   7.95219E-01   2.60000E+01   1.00000E+02   3.19563E+01   2.32343E+00
 1.11298E-03   2.86922E-03   5.27980E-02   7.96931E-01   2.60000E+01   1.00000E+02   3.20357E+01   2.34409E+00
 1.12412E-03   2.91481E-03   5.23573E-02   7.98626E-01   2.60000E+01   1.00000E+02   3.21159E+01   2.36493E+00
 1.13536E-03   2.96068E-03   5.19260E-02   8.00285E-01   2.60000E+01   1.00000E+02   3.21958E+01   2.38572E+00
 1.14671E-03   3.00708E-03   5.15015E-02   8.01917E-01   2.60000E+01   1.00000E+02   3.22759E+01   2.40655E+00
 1.15818E-03   3.05401E-03   5.10837E-02   8.03524E-01   2.60000E+01   1.00000E+02   3.23563E+01   2.42744E+00
 1.16976E-03   3.10011E-03   5.06842E-02   8.05061E-01   2.60000E+01   1.00000E+02   3.24345E+01   2.44777E+00
 1.18146E-03   3.14812E-03   5.02792E-02   8.06618E-01   2.60000E+01   1.00000E+02   3.25152E+01   2.46876E+00
 1.19327E-03   3.19667E-03   4.98805E-02   8.08152E-01   2.60000E+01   1.00000E+02   3.25961E+01   2.48980E+00
 1.20520E-03   3.24578E-03   4.94879E-02   8.09662E-01   2.60000E+01   1.00000E+02   3.26772E+01   2.51089E+00
 1.21726E-03   3.29544E-03   4.91013E-02   8.11149E-01   2.60000E+01   1.00000E+02   3.27586E+01   2.53203E+00
 1.22943E-03   3.34567E-03   4.87207E-02   8.12613E-01   2.60000E+01   1.00000E+02   3.28401E+01   2.55323E+00
 1.24172E-03   3.39646E-03   4.83459E-02   8.14054E-01   2.60000E+01   1.00000E+02   3.29218E+01   2.57448E+00
 1.25414E-03   3.44782E-03   4.79767E-02   8.15474E-01   2.60000E+01   1.00000E+02   3.30037E+01   2.59578E+00
 1.26668E-03   3.49976E-03   4.76131E-02   8.16873E-01   2.60000E+01   1.00000E+02   3.30859E+01   2.61714E+00
 1.27935E-03   3.55228E-03   4.72550E-02   8.18250E-01   2.60000E+01   1.00000E+02   3.31682E+01   2.63855E+00
 1.29214E-03   3.60538E-03   4.69022E-02   8.19607E-01   2.60000E+01   1.00000E+02   3.32507E+01   2.66001E+00
 1.30506E-03   3.65908E-03   4.65547E-02   8.20943E-01   2.60000E+01   1.00000E+02   3.33335E+01   2.68152E+00
 1.31812E-03   3.71306E-03   4.62142E-02   8.22253E-01   2.60000E+01   1.00000E+02   3.34160E+01   2.70297E+00
 1.33130E-03   3.76795E-03   4.58769E-02   8.23551E-01   2.60000E+01   1.00000E+02   3.34992E+01   2.72460E+00
 1.34461E-03   3.82343E-03   4.55445E-02   8.24829E-01   2.60000E+01   1.00000E+02   3.35825E+01   2.74627E+00
 1.35806E-03   3.87952E-03   4.52169E-02   8.26089E-01   2.60000E+01   1.00000E+02   3.36661E+01   2.76800E+00
 1.37164E-03   3.93604E-03   4.48952E-02   8.27326E-01   2.60000E+01   1.00000E+02   3.37496E+01   2.78971E+00
 1.38536E-03   3.99336E-03   4.45771E-02   8.28550E-01   2.60000E+01   1.00000E+02   3.38336E+01   2.81155E+00
 1.39921E-03   4.05130E-03   4.42636E-02   8.29755E-01   2.60000E+01   1.00000E+02   3.39178E+01   2.83344E+00
 1.41321E-03   4.10987E-03   4.39545E-02   8.30943E-01   2.59982E+01   9.99941E+01   3.40022E+01   2.85539E+00
 1.42734E-03   4.17175E-03   4.36220E-02   8.31560E-01   2.52513E+01   9.75044E+01   3.40868E+01   2.87738E+00
 1.44161E-03   4.25452E-03   4.30865E-02   8.27705E-01   2.00353E+01   8.01178E+01   3.41710E+01   2.89875E+00
 1.45601E-03   4.30166E-03   4.28664E-02   8.28534E-01   2.00002E+01   8.00007E+01   3.42393E+01   2.91581E+00
 1.47057E-03   4.36067E-03   4.25981E-02   8.29602E-01   2.00047E+01   8.00213E+01   3.43245E+01   2.93711E+00
 1.48528E-03   4.42120E-03   4.23248E-02   8.30476E-01   2.02148E+01   8.09668E+01   3.44099E+01   2.95845E+00
 1.50013E-03   4.49104E-03   4.19738E-02   8.29592E-01   2.27201E+01   9.22402E+01   3.44955E+01   2.97969E+00
 1.51513E-03   4.55503E-03   4.16894E-02   8.29821E-01   2.39279E+01   9.76755E+01   3.45813E+01   3.00075E+00
 1.53028E-03   4.61566E-03   4.14452E-02   8.30768E-01   2.39970E+01   9.79865E+01   3.46673E+01   3.02182E+00
 1.54559E-03   4.67668E-03   4.12061E-02   8.31742E-01   2.39999E+01   9.79995E+01   3.47536E+01   3.04294E+00
 1.56104E-03   4.73830E-03   4.09701E-02   8.32705E-01   2.40000E+01   9.80000E+01   3.48400E+01   3.06412E+00
 1.57667E-03   4.80044E-03   4.07376E-02   8.33655E-01   2.40000E+01   9.80000E+01   3.49266E+01   3.08531E+00
 1.59247E-03   4.86341E-03   4.05072E-02   8.34596E-01   2.40000E+01   9.80000E+01   3.50136E+01   3.10663E+00
 1.60839E-03   4.92689E-03   4.02802E-02   8.35523E-01   2.40000E+01   9.80000E+01   3.51007E+01   3.12796E+00
 1.62448E-03   4.99101E-03   4.00561E-02   8.36438E-01   2.40000E+01   9.80000E+01   3.51881E+01   3.14935E+00
 1.64072E-03   5.05575E-03   3.98348E-02   8.37341E-01   2.40000E+01   9.80000E+01   3.52756E+01   3.17079E+00
 1.65713E-03   5.12114E-03   3.96162E-02   8.38234E-01   2.40000E+01   9.80000E+01   3.53634E+01   3.19228E+00
 1.67370E-03   5.18717E-03   3.94005E-02   8.39115E-01   2.40000E+01   9.80000E+01   3.54513E+01   3.21383E+00
